id,class,tech,tonnage,chassis,variant,buildUrl,skillCode,skillTreeCode,skillTreeUrl,weaponry,equipment,description,role,buildCodes,primaryRangeBracketMin,primaryRangeBracketMax,optimalRange,maxRange,schemaVersion,docType
0951bd89-0834-4941-83f5-bf6bbd017f58,Assault,Clan,95,Clan Bullshark,MAKO,https://mwo.nav-alpha.com/mechlab?b=00fd907b_BSK-M,pending,,,3x C-ER PPC | 2x C-Gauss Rifle,"[""10x C-Double Heat Sink"",""4x C-Gauss Ammo"",""Clan Active Probe"",""Clan XL Engine 300"",""TComp Mk I""]",Imported from NAV-Alpha build link.,Juggernaut,"{""default"":""AmiE4:h1|2f|l^|l^|1Cp@1|1C|l^|l^|l^|l^q@1|1C|l^|l^|l^|l^rY0|hBsY0|hB|TRt:1|e<2|TRu:1|l<2|TRvB0|TRw000000"",""export"":""AmiE4:h1|2f|l^|l^|1Cp@1|1C|l^|l^|l^|l^q@1|1C|l^|l^|l^|l^rY0|hBsY0|hB|TRt:1|e<2|TRu:1|l<2|TRvB0|TRw000000""}",500,1000,700,1400,1.0,mech
1a5cc21d-2f15-457e-9254-9e57a025dffe,Heavy,Clan,75,Timber Wolf,TBR-S,https://mwo.nav-alpha.com/mechlab?b=b923ef54_TBR-S,pending,,,2x C-Beam Laser | 2x C-Machine Gun | 2x C-Micro Pulse Laser | 4x C-SRM 6,"[""5x C-Double Heat Sink"",""C-Machine Gun Ammo"",""3x C-SRM Ammo"",""5x Jump Jet Class III"",""XL Engine 375""]",Imported from NAV-Alpha build link.,Brawler,"{""default"":""AU2D<:B00E7p@01E7|MCqo02E7|<C|<C|XR|XR|iBrK1so04E7|<C|<C|^C|iBtX05E7|^C|XR|MC|URu016E7v017E7w101010"",""export"":""AU2D<:K1po04E7|<C|<C|^C|iBqo02E7|<C|<C|XR|XR|iBr@01E7|MCsX05E7|^C|XR|MC|URt016E7u017E7vB00E7w101010""}",0,0,0,0,1.0,mech
281a52d0-1642-447d-9ccb-57d04c4f2979,Light,Clan,25,Commando Iic,COM-IIC,https://mwo.nav-alpha.com/mechlab?b=2f7b3381_COM-IIC,pending,,,C-SRM 4 | 3x C-SRM 6,"[""2x C-Double Heat Sink"",""3x C-SRM Ammo"",""C-SRM Ammo (1/2)"",""Clan XL Engine 210""]","Some more armor on the arm, though less alpha.",Skirmisher,"{""default"":""A4kD4:P0|`e|<C|XRpH0|<C|l^|l^|XR|lRqH0|<Cr00s@0|;CtH0uH0v90|XRw000000""}",0,0,0,0,1.0,mech
a931669c-4329-4fbf-99c9-a71bcf44f37c,Light,Clan,30,Incubus,SABRE,https://mwo.nav-alpha.com/mechlab?b=476d4e1d_INC-SA,pending,,,3x C-Heavy Machine Gun | 2x C-Small Pulse Laser | C-SRM | 3x C-SRM 6,"[""Ammo"",""2x Ammo (1/2)"",""C-Double Heat Sink"",""2x C-SRM Ammo"",""XL Engine 245""]",Imported from NAV-Alpha build link.,Brawler,"{""default"":""AR;D4:10|5Sp00qJ0|KC|nBrV0|ge|<C|XRsJ0|KC|KC|nB|4S|l^|lRtC0|<C|<C|XRuL0vL0w202020"",""export"":""AR;D4:V0|ge|<C|XRpJ0|KC|KC|nB|4S|l^|lRqJ0|KC|nBr00sC0|<C|<C|XRtL0uL0v10|5Sw202020""}",0,0,0,0,1.0,mech
4fc0e66e-aa34-493e-9658-009dd8a3f6b6,Heavy,Clan,75,Orion Iic,ON1-IIC,https://mwo.nav-alpha.com/mechlab?b=94f1657b_ON1-IIC,pending,,,3x C-Beam Laser | 4x C-SRM | 3x C-SRM 6 + Artemis,"[""4x Ammo A (1/2)"",""10x C-Double Heat Sink"",""TComp Mk I"",""XL Engine 340""]",Imported from NAV-Alpha build link.,DPS,"{""default"":""Ad5D5:B0|e<2p^0|^C|?C|mR|mRqm0|l^|l^|?C|?C|mR|mRrI1|:f|l^|l^|l^sm0|l^|l^|l^|l^t`0|^C|^C|l^u01v01w303030"",""export"":""Ad5D5:I1|:f|l^|l^|l^pm0|l^|l^|l^|l^qm0|l^|l^|?C|?C|mR|mRr^0|^C|?C|mR|mRs`0|^C|^C|l^t01u01vB0|e<2w303030""}",0,0,0,0,1.0,mech
641e231c-6939-4efe-b3d5-5a34df92dd06,Light,Clan,30,Urbanmech Iic,UM-IIC-MTS(P),https://mwo.nav-alpha.com/mechlab?b=2ff4bed0_UM-IIC-MTSP,pending,,,2x C-Beam Las | 11x C-LMG,"[""7x C-Double Heat Sink"",""3x C-LMG Ammo"",""Clan XL Engine 90"",""TComp Mk I""]",Imported from NAV-Alpha build link.,Skirmisher,"{""imported"":""UM-IIC-MTSP"",""export"":""AHkD4:X0|He|JC|JCpL0|JC|^C|l^|l^|l^qL0|JC|^C|l^|l^|l^r:0|JC|JC|JC|JC|2Ss90|JC|JC|JCtD0|2S|e<2uL0|l^v00|2Sw000000""}",0,0,0,0,1.0,mech
05e9c588-e343-4452-beea-4d54f603ee27,Light,Clan,30,Incubus,INC-4,https://mwo.nav-alpha.com/mechlab?b=fa738625_INC-4,pending,,,5x C-Medium Pulse Laser,"[""Clan XL Engine 285""]",Imported from NAV-Alpha build link.,Skirmisher,"{""imported"":""INC-4"",""export"":""AP;D4:V0|oepJ0|oB|oBqJ0|oB|oB|oBr00s00tL0uL0v10w202020""}",0,0,300,600,1.0,mech
30a67769-0e4a-4e39-9442-476f8c1b82e0,Light,IS,25,Commando,COM-D03H,https://mwo.nav-alpha.com/mechlab?b=f0a9e763_COM-D03H,pending,,,4x Small Laser | Snub Nose PPC,"[""3x Double Heat Sink"",""Light Engine 175"",""MASC Mk I""]",Imported from NAV-Alpha build link.,Skirmisher,"{""default"":""AGi92:10|[?|[?p00qF0|i^rN0|=g|I@|[?|[?sF0|i^|i^t00uF0vF0|0Iw202020"",""export"":""AGi92:N0|=g|I@|[?|[?pF0|i^|i^qF0|i^r00s00tF0uF0|0Iv10|[?|[?w202020""}",0,0,0,0,1.0,mech
9f55605d-2173-4a1b-bf71-f4079f98a543,Light,IS,25,Commando,COM-D03H,https://mwo.nav-alpha.com/mechlab?b=624df7e0_COM-D03H,pending,,,2x Medium Pulse Laser | 3x Small Laser,"[""5x Heat Sink"",""MASC Mk I"",""STD Engine 175""]",Imported from NAV-Alpha build link.,Skirmisher,"{""default"":""AGi90:10|c?|c?p00qD0rN0|Qb|h^|[?|[?|[?sD0|h^t00uH0|0I|h^vH0|h^|h^w202020"",""export"":""AGi90:N0|Qb|h^|[?|[?|[?pD0|h^qD0r00s00tH0|0I|h^uH0|h^|h^v10|c?|c?w202020""}",0,0,0,0,1.0,mech
f03b7bae-7cca-46b7-a2f9-bbb32d28a0a3,Light,Clan,20,Firemoth,FMT-PRIME,https://mwo.nav-alpha.com/mechlab?b=faac1626_FMT-PRIME,pending,,,C-SRM | 3x C-SRM 6,"[""Ammo (1/2)"",""2x C-Double Heat Sink"",""C-MASC Mk I Fire Moth"",""C-SRM Ammo"",""XL Engine 200""]",Imported from NAV-Alpha build link.,Brawler,"{""default"":""AZjD<:00P\\7p00a\\7|<CqC0R\\7|lRrG0sC0T\\7|<C|XRt00U\\7|<Cu@0V\\7v@0W\\7w101010"",""export"":""AZjD<:G0pC0T\\7|<C|XRqC0R\\7|lRr00a\\7|<Cs00U\\7|<Ct@0V\\7u@0W\\7v00P\\7w101010""}",0,0,0,0,1.0,mech
c6544bbc-30eb-4306-a805-b29377cc3c3e,Light,Clan,20,Firemoth,FMT-H,https://mwo.nav-alpha.com/mechlab?b=5e2679f2_FMT-H,pending,,,11x C-μPL,[],,Brawler,"{""default"":""A^jD<:H0pD0l\\7|MC|MCqD02]7r901]7|MC|MC|MC|MCs:05]7|MC|MC|MC|MC|MCt@06]7u@07]7v000]7w000000""}",0,0,0,0,1.0,mech
41eba955-1e86-45a3-beae-72754ea00e8b,Light,IS,20,Flea,FLE-19,https://mwo.nav-alpha.com/mechlab?b=959ebddc_FLE-19,pending,,,Parsed from link. Please review and update weapon details.,"[""3x Ammo"",""3x Heat Sink"",""XL Engine 180""]",Imported from NAV-Alpha build link.,Skirmisher,"{""default"":""A:;:0:00|MPp<0|f@|f@|f@|f@|h^|[<2qC0rH0|6d|MP|MPsC0|h^t<0|f@|f@|f@|f@|h^|[<2u@0v@0w000000"",""export"":""A:;:0:H0|6d|MP|MPpC0|h^qC0r<0|f@|f@|f@|f@|h^|[<2s<0|f@|f@|f@|f@|h^|[<2t@0u@0v00|MPw000000""}",0,0,0,0,1.0,mech
1aebb9e2-e828-40e2-a432-0b18e96b3db6,Light,IS,20,Flea,FLE-FA,https://mwo.nav-alpha.com/mechlab?b=5dd2ec61_FLE-FA,pending,,,3x ER Small Laser,"[""2x Ammo"",""4x Double Heat Sink"",""MASC Mk I"",""XL Engine 170""]",Imported from NAV-Alpha build link.,Skirmisher,"{""default"":""A<;82:00|E@p80|f@|f@|f@|MPqD0|0I|E@|i^|i^rH0|4dsD0|E@|i^|i^t80|f@|f@|f@|MP|[<2u@0v@0w000000"",""export"":""A<;82:H0|4dpD0|E@|i^|i^qD0|0I|E@|i^|i^r80|f@|f@|f@|MPs80|f@|f@|f@|MP|[<2t@0u@0v00|E@w000000""}",0,0,0,0,1.0,mech
8d40afd6-515e-4505-8c65-aa9984a34f3e,Light,IS,20,Flea,FLE-17,https://mwo.nav-alpha.com/mechlab?b=35ddd812_FLE-17,pending,,,2x Medium Pulse Laser | 5x Small Laser,"[""4x Double Heat Sink"",""MASC Mk I"",""XL Engine 170""]",Imported from NAV-Alpha build link.,Brawler,"{""default"":""A8;:2:00p;0|[?|[?qD0|[?|i^|i^rH0|4d|c?|0IsD0|c?|i^|i^t;0|[?|[?u@0v@0w000000"",""export"":""A8;:2:H0|4d|c?|0IpD0|c?|i^|i^qD0|[?|i^|i^r;0|[?|[?s;0|[?|[?t@0u@0v00w000000""}",0,0,0,0,1.0,mech
7cb624b3-826e-44bf-877d-614279b16532,Light,Clan,20,Firemoth,FMT-K,https://mwo.nav-alpha.com/mechlab?b=cacfb521_FMT-K,pending,,,6x C-AP Gauss | 2x C-Heavy Small Laser,"[""2x AP Gauss Ammo"",""2x C-Double Heat Sink"",""C-MASC Mk I Fire Moth"",""XL Engine 200""]",Imported from NAV-Alpha build link.,Skirmisher,"{""default"":""A_jD<:008]7p009]7|]C|]C|]C|NCqD0:]7|DSrH0sD0<]7|DSt00=]7|]C|]C|]C|NCu@0>]7v@0?]7w000000"",""export"":""A_jD<:H0pD0<]7|DSqD0:]7|DSr009]7|]C|]C|]C|NCs00=]7|]C|]C|]C|NCt@0>]7u@0?]7v008]7w000000""}",0,0,0,0,1.0,mech
095f7ff5-6f33-4964-a819-40bc61c12798,Light,Clan,30,Arctic Cheetah,ACH-A,https://mwo.nav-alpha.com/mechlab?b=61ed43b1_ACH-A,pending,,,2x C-ER LL,"[""TComp Mk I""]",,Skirmisher,"{""imported"":""ACH-A"",""default"":""AT4D<:V0pJ0<M7|e<2qJ0:M7r:09M7|mBs:0=M7|mBtL0>M7uL0?M7v008M7w202020""}",0,0,0,0,1.0,mech
edcce886-6e71-47d2-8a00-ae3caefdd443,Medium,Clan,55,Black Lanner,BKL-C,https://mwo.nav-alpha.com/mechlab?b=9973b12c_BKL-C,pending,,,2x C-Heavy Large Laser | 3x C-Heavy Small Laser,"[""2x C-Double Heat Sink"",""C-MASC Mk II"",""Light Active Probe"",""XL Engine 385""]",Imported from NAV-Alpha build link.,Skirmisher,"{""default"":""AI:D<:00YW7|NCpM0:W7|NC|NCqd0;W7|PC|l^|l^r81sd0EW7|n<2tT06W7|PCud0GW7vd0HW7w000000"",""export"":""AI:D<:81pd0EW7|n<2qd0;W7|PC|l^|l^rM0:W7|NC|NCsT06W7|PCtd0GW7ud0HW7v00YW7|NCw000000""}",0,0,0,0,1.0,mech
c7f9846e-47df-4443-a91a-9ebe7cb9a096,Light,Clan,20,Firemoth,ALETHA,https://mwo.nav-alpha.com/mechlab?b=8eded029_FMT-AL,a57050c85400182000449cdf5ef6a77e0737a0000504a031a2990907d7618,,,4x C-HML,"[""C-Double Heat Sink"",""Light Active Probe""]",,Skirmisher,"{""default"":""A`jD<:H0pD0D]7qD0B]7|n<2|l^r;0A]7|OC|OC|OCs80E]7|OCt@0F]7u@0G]7v00@]7w000000""}",0,0,0,0,1.0,mech
92a11a7c-0045-46ae-a250-6c17fe4a86af,Assault,Clan,100,Bane,LEVIATHAN,https://mwo.nav-alpha.com/mechlab?b=b5f540b6_BANE-L,pending,,,Parsed from link. Please review and update weapon details.,[],Imported from NAV-Alpha build link.,Juggernaut,"{""default"":""AXjM4:B0pc0|IC|ORqC1|1C|l^|l^|l^|l^rk1|2f|l^|l^|OR|ORsC1|1C|0C|l^|l^|l^tc0|IC|ORuj0|l^vj0|l^w101010"",""export"":""AXjM4:k1|2f|l^|l^|OR|ORpC1|1C|0C|l^|l^|l^qC1|1C|l^|l^|l^|l^rc0|IC|ORsc0|IC|ORtj0|l^uj0|l^vB0w101010""}",0,0,0,0,1.0,mech
d9ef1c25-82b3-4d3b-a7b9-dca0353c930d,Heavy,Clan,65,Linebacker,LBK-C,https://mwo.nav-alpha.com/mechlab?b=a5ca5220_LBK-C,pending,,,2x C-Beam Las | 3x C-ER Med | 3x C-LMG,"[""C-LMG Ammo"",""TComp Mk I""]",Imported from NAV-Alpha build link.,Brawler,"{""imported"":""LBK-C"",""export"":""AI7D<:D1|e<2pl0ER7|JC|JC|^C|2Sql0CR7|^C|lB|lBrD0BR7|lBs<0FR7|JCtl0GR7ul0HR7vB0AR7w000000""}",0,0,0,0,1.0,mech
b8ab79a2-6f9d-4ec7-90a6-3c61e49aa25a,Medium,IS,50,Enforcer,ENF-4R,https://mwo.nav-alpha.com/mechlab?b=0251c622_ENF-4R,pending,,,4x ER LL,"[""5x Double Heat Sink"",""IS TComp Mk I"",""4x Jump Jet Class IV"",""XL Engine 235""]",,Skirmisher,"{""imported"":""ENF-4R"",""default"":""Ai382:01|Ad|OG|OGp_0|i^|i^|i^q_0|]?|]?|i^|OG|OGrE0|]?|]?|i^s00t`0u`0v;0|o<2w001010""}",0,0,0,0,1.0,mech
840274de-53bd-488e-87f1-900b3004287f,Light,IS,35,Firestarter,FIRESTORM,https://mwo.nav-alpha.com/mechlab?b=57515bf1_FS9-FS,pending,,,3x LPPC | 4x Magshot,"[""2x CASE"",""Double Heat Sink"",""2x Jump Jet Class V"",""Magshot Ammo"",""XL Engine 265""]",Imported from NAV-Alpha build link.,Skirmisher,"{""default"":""Ac::2:10|MPp?0|f@|f@|[<2qN0|G@|i^|PGrZ0|Gd|G@sN0|G@|PGt?0|f@|f@|[<2uP0vP0w202020"",""export"":""Ac::2:Z0|Gd|G@pN0|G@|PGqN0|G@|i^|PGr?0|f@|f@|[<2s?0|f@|f@|[<2tP0uP0v10|MPw202020""}",0,0,0,0,1.0,mech
ee2c7b10-0fde-44fa-abd3-aa4b72ca137e,Assault,IS,100,Marauder Ii,MAD-X,https://mwo.nav-alpha.com/mechlab?b=efb3b5c3_MAD-XS,pending,,,RG | 2x Gauss,"[""3x Gauss Ammo"",""2x Heat Sink"",""4x Rail Gun Ammo"",""STD Engine 200""]",,Juggernaut,"{""default"":""ABl80:k1|VbpB1|m?qB1|m?r50|h^|SPs50|h^|HOt81|HO|SPu81|HO|SPvB0|SPw102020""}",0,0,0,0,1.0,mech
